INFO  23:03:54,091 | james.mailstore | added repository: file://var/mail/error/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  23:03:54,095 | james.mailstore | added repository: file://var/mail/error/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  23:03:54,104 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  23:03:54,105 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\spam
INFO  23:03:54,106 | james.mailstore | added repository: file://var/mail/spam/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  23:03:54,107 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  23:03:54,108 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\spam
INFO  23:03:54,109 | james.mailstore | added repository: file://var/mail/spam/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  23:03:54,110 | james.mailstore | added repository: file://var/mail/spam/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  23:03:54,116 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  23:03:54,117 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\address-error
INFO  23:03:54,117 | james.mailstore | added repository: file://var/mail/address-error/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  23:03:54,118 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  23:03:54,118 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\address-error
INFO  23:03:54,118 | james.mailstore | added repository: file://var/mail/address-error/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  23:03:54,119 | james.mailstore | added repository: file://var/mail/address-error/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  23:03:54,122 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  23:03:54,122 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  23:03:54,122 | james.mailstore | added repository: file://var/mail/relay-denied/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  23:03:54,123 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  23:03:54,124 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  23:03:54,124 | james.mailstore | added repository: file://var/mail/relay-denied/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  23:03:54,125 | james.mailstore | added repository: file://var/mail/relay-denied/MAIL->org.apache.james.mailrepository.file.FileMailRepository
